     xj
xi         1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44     45     46     47     48     49     50     51     52     53     54     55     56     57     58     59     60     61     62     63     64     65     66     67     68     69     70     71     72     73     74     75     76     77     78     79     80     81     82     83     84     85     86     87     88     89     90     91     92     93     94     95     96     97     98     99    100
  24       0      0     15     23     65     95    126    181    227    233    286    318    425    485    501    560    626    684    713    748    754    736    814    779    684    708    655    501    379    315    292    330    253    305    248    189    170    185    113     94     50    145    158    132    104     32     40     37     87    129     36     35     21     16     16    136     26     22     23     55     29      6     10     14     23     51      8      0      0     15     12      0      0      6     26      8     15     10      0      0      0      0      0      0     16      0      8      0      0      0      0      0      0      0      0      0      0      0      0      0
  25       0      0     18     21     45     77    128    153    181    199    230    260    347    381    414    441    540    574    601    638    631    661    656    690    659    664    643    560    360    329    314    343    307    280    234    204    183    179    123     72     92    128    159    118    107     39     38     35     98    154     30     30     24     18     19    141     37     28     22     60     30      6      9      6     22     65      6      0      0     14     10      7      6      6     32      9     12      6      6      7      0      0      0      0     11      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  26       0      0      6     34     40     67    122    146    154    193    249    278    340    344    367    450    467    555    559    593    633    629    680    634    695    780    719    586    426    403    342    418    387    353    313    232    189    195    147     92     74    145    183    131    158     42     32     38    113    149     21     30     27     32     31    188     28     21     35     67     41     26     12     11     29     65      7      6      6     16      9      6      7     10     40     14     10      9      8      0      0      0      0      6      7      6      7      0      0      0      0      0      0      0      0      0      0      0      0      0
  27       0      0      7     15     53     60     83    120    157    153    195    206    274    311    347    347    428    474    465    536    560    548    613    599    640    749    756    611    529    398    343    454    385    418    323    269    241    228    152    106     79    160    213    165    147     59     49     34    132    166     38     31     23     31     25    149     28     21     25     76     37     12     11     16     19     85      6      8     13     21     17      6      6      0     47     25     10     16      9      6      0      0      0      0     10      0      6      0      0      0      0      0      0      0      0      0      0      0      0      0
  28       0      0      7     11     19     39     60     92    100    112    151    156    235    265    262    274    325    381    377    445    452    458    459    447    482    609    629    545    419    375    363    384    339    400    291    265    235    227    157     98    100    168    186    149    152     47     51     38    102    181     37     22     21     25     26    152     34     29     24     94     44     11     10     15     27     75      0     13     13     12     12      6      6      8     41     11     15     12      6      0      0      0      0      0      8      0      6      0      0      0      0      0      0      0      0      0      6      0      0      0
  29       0      0      6      6     28     30     47     79     65     83     98    116    160    177    185    211    215    258    288    262    303    338    338    382    339    374    466    374    331    307    321    353    312    328    261    209    186    191    122     84     83    115    152    131    116     31     38     36     95    132     35     24     34     23     26    152     24     27     15     71     41      9      7     18     20     54      6     12      6     16     11      6      0      7     44     14     10      7      8      0      0      0      0      0      6      0     10      0      0      0      0      0      0      0      0      0      0      0      0      0
  30       0      0      0      8     20     25     36     43     60     58     78    104    112    127    175    168    188    222    228    249    256    290    332    284    337    368    416    363    304    331    302    332    328    359    278    225    208    171    140     84     85    149    170    124    120     32     48     46     98    152     30     23     22     19     16    132     38     22     19     61     33     12     13      7     19     60      9      0      8     26     10      0      0      8     33      9      8     11      8      0      0      0      0      0     13      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  31       0      0      0     12     14     21     26     44     66     61     84     83    132    120    148    156    192    187    217    217    245    253    268    297    284    355    385    368    298    309    317    373    361    351    315    224    193    185    149     95     89    159    167    150    106     41     40     35    104    139     30     29     17     19     22    135     37     26     33     60     39     13     11     10     28     67      0      6      6     20     13      7      0      6     32      9     11     13      7      0      6      0      0      0      8      6      6      0      0      0      0      0      0      0      0      0      0      0      0      0
  32       0      0      6      8     11     29     36     66     60     97     84    102    139    155    159    182    190    249    231    273    282    303    292    347    340    413    396    403    329    334    401    461    439    459    412    316    274    255    180    131     94    205    223    205    170     34     57     36    117    188     41     40     39     21     26    191     39     29     33     84     60     16     25      9     29     83      8      6      7     12     13      8      7      7     44     17      9     13      6      0      6      6      0      6     10      0      7      0      0      0      0      0      0      0      0      0      0      0      0      0
  33       0      0      0      6     15     20     36     31     51     51     55     80    100    117    120    135    173    173    195    183    245    201    258    270    288    338    363    373    296    288    294    365    384    425    367    341    286    255    167    122    106    194    234    169    153     57     50     45    108    195     42     31     36     33     28    192     42     42     22     81     39     20     17     13     31    103     10     13      8     25     18      7      6      6     52     20     17      8      8      0      0      0      0      0      8      8      6      0      0      0      0      6      0      0      0      0      6      0      0      0
